iter	Passed	Remaining
0	0	74
1	0	70
2	0	64
3	1	57
4	1	54
5	1	54
6	1	53
7	2	50
8	2	47
9	2	46
10	2	43
11	2	43
12	3	44
13	3	43
14	3	44
15	3	44
16	4	44
17	4	44
18	4	44
19	4	44
20	5	44
21	5	44
22	5	44
23	5	43
24	6	43
25	6	42
26	6	41
27	6	41
28	6	41
29	7	41
30	7	41
31	7	41
32	8	41
33	8	40
34	8	40
35	8	39
36	9	39
37	9	39
38	9	39
39	9	39
40	10	38
41	10	38
42	10	38
43	10	37
44	10	37
45	11	37
46	11	37
47	11	37
48	12	37
49	12	36
50	12	36
51	12	35
52	12	35
53	13	35
54	13	34
55	13	34
56	13	34
57	13	34
58	14	34
59	14	33
60	14	33
61	15	33
62	15	32
63	15	32
64	15	32
65	15	32
66	16	32
67	16	31
68	16	31
69	16	31
70	17	31
71	17	31
72	17	31
73	18	30
74	18	30
75	18	30
76	18	30
77	19	30
78	19	29
79	19	29
80	20	29
81	20	29
82	20	29
83	21	29
84	21	28
85	21	28
86	21	28
87	22	28
88	22	28
89	22	27
90	23	27
91	23	27
92	23	27
93	24	27
94	24	27
95	24	26
96	25	26
97	25	26
98	25	26
99	26	26
100	26	26
101	26	25
102	27	25
103	27	25
104	27	25
105	28	25
106	28	24
107	28	24
108	29	24
109	29	24
110	29	23
111	30	23
112	30	23
113	30	23
114	30	22
115	31	22
116	31	22
117	32	22
118	32	22
119	32	21
120	33	21
121	33	21
122	33	21
123	34	20
124	34	20
125	34	20
126	34	20
127	35	19
128	35	19
129	35	19
130	36	19
131	36	18
132	36	18
133	37	18
134	37	17
135	37	17
136	38	17
137	38	17
138	38	16
139	39	16
140	39	16
141	39	16
142	40	16
143	40	15
144	40	15
145	41	15
146	41	14
147	41	14
148	42	14
149	42	14
150	42	13
151	43	13
152	43	13
153	43	13
154	43	12
155	44	12
156	44	12
157	44	11
158	45	11
159	45	11
160	45	11
161	46	10
162	46	10
163	46	10
164	47	10
165	47	9
166	47	9
167	48	9
168	48	8
169	48	8
170	48	8
171	48	7
172	49	7
173	49	7
174	49	7
175	49	6
176	50	6
177	50	6
178	50	5
179	50	5
180	51	5
181	51	5
182	51	4
183	51	4
184	52	4
185	52	3
186	52	3
187	52	3
188	52	3
189	53	2
190	53	2
191	53	2
192	53	1
193	53	1
194	54	1
195	54	1
196	54	0
197	54	0
198	55	0
199	55	0
