iter	MultiClass
0	2.173156732
1	2.145380249
2	2.124718997
3	2.105894031
4	2.086711479
5	2.070712521
6	2.0623502
7	2.053113037
8	2.041615462
9	2.02861368
10	2.019938355
11	2.006025518
12	1.99254751
13	1.984135853
14	1.972313239
15	1.96429271
16	1.949695239
17	1.93771842
18	1.930942588
19	1.923068979
20	1.914636574
21	1.905421768
22	1.894179711
23	1.883928143
24	1.870670891
25	1.864771142
26	1.857448613
27	1.849659002
28	1.838822659
29	1.829114289
30	1.82123928
31	1.816849413
32	1.809367312
33	1.79924585
34	1.79405538
35	1.786405904
36	1.779183429
37	1.77334814
38	1.76651689
39	1.759655257
40	1.751504063
41	1.739444952
42	1.736467447
43	1.728841733
44	1.722168144
45	1.715069781
46	1.708847705
47	1.70433536
48	1.697580543
49	1.690577047
50	1.685440877
51	1.67507857
52	1.67090629
53	1.665655551
54	1.660544817
55	1.653261194
56	1.65119654
57	1.647572302
58	1.644799579
59	1.637595572
60	1.628610043
61	1.62224239
62	1.613497218
63	1.60994323
64	1.606574862
65	1.603069264
66	1.5980731
67	1.594781617
68	1.592304341
69	1.58626711
70	1.580543335
71	1.576486363
72	1.570130502
73	1.56247085
74	1.559873996
75	1.554955982
76	1.551499903
77	1.544698236
78	1.536049746
79	1.534384123
80	1.528928303
81	1.526095202
82	1.521007263
83	1.517267291
84	1.511866505
85	1.507635811
86	1.501622979
87	1.496151171
88	1.493609331
89	1.489507296
90	1.483618704
91	1.478413207
92	1.472998107
93	1.468849325
94	1.464464155
95	1.458776433
96	1.451877725
97	1.446612402
98	1.43843135
99	1.435112427
100	1.429510766
101	1.421289119
102	1.417859767
103	1.413452832
104	1.409759972
105	1.404058378
106	1.402399927
107	1.396678814
108	1.39145061
109	1.385168334
110	1.377518751
111	1.3727693
112	1.36601031
113	1.361803756
114	1.358144677
115	1.355159019
116	1.349166477
117	1.342925207
118	1.334467344
119	1.32905668
120	1.32520806
121	1.320920012
122	1.315491243
123	1.310502927
124	1.306028612
125	1.299514606
126	1.29782559
127	1.293033642
128	1.288885197
129	1.285237185
130	1.281258269
131	1.276881375
132	1.273511436
133	1.269063425
134	1.263749736
135	1.260565819
136	1.256688569
137	1.252419949
