iter	Passed	Remaining
0	3	3034
1	5	2759
2	8	2757
3	11	2749
4	13	2763
5	16	2687
6	18	2619
7	20	2564
8	23	2532
9	25	2526
10	28	2519
11	30	2520
12	32	2492
13	35	2476
14	37	2470
15	39	2454
16	42	2448
17	44	2438
18	46	2423
19	49	2416
20	51	2412
21	53	2399
22	56	2390
23	58	2386
24	61	2385
25	63	2390
26	66	2387
27	68	2380
28	70	2372
29	73	2376
30	76	2376
31	78	2383
32	81	2376
33	82	2333
34	84	2326
35	86	2327
36	89	2324
37	91	2321
38	93	2315
39	96	2308
40	98	2304
41	100	2303
42	103	2297
43	105	2302
44	108	2301
45	110	2294
46	113	2291
47	115	2290
48	117	2288
49	120	2287
50	122	2285
51	125	2279
52	127	2276
53	129	2272
54	132	2268
55	134	2269
56	137	2278
57	140	2278
58	143	2283
59	145	2286
60	148	2288
61	151	2287
62	153	2287
63	156	2284
64	158	2281
65	160	2277
66	163	2277
67	166	2276
68	168	2275
69	171	2279
70	174	2283
71	177	2283
72	179	2279
73	181	2274
74	184	2271
75	186	2270
76	189	2267
77	191	2265
78	194	2267
79	197	2267
80	199	2264
81	201	2260
82	204	2261
83	207	2258
84	209	2253
85	212	2253
86	214	2250
87	216	2246
88	219	2244
89	222	2245
90	224	2241
91	226	2237
92	229	2234
93	231	2232
94	233	2228
95	236	2228
96	239	2225
97	241	2223
98	243	2219
99	246	2217
100	248	2213
101	251	2210
102	253	2209
103	256	2207
104	258	2203
105	260	2200
106	263	2196
107	265	2196
108	268	2196
109	271	2194
110	273	2192
111	276	2188
112	278	2185
113	280	2182
114	283	2179
115	285	2179
116	288	2174
117	290	2171
118	292	2167
119	295	2165
120	297	2161
121	299	2158
122	302	2157
123	305	2157
124	307	2154
125	310	2153
126	313	2152
127	315	2149
128	318	2147
129	320	2144
130	322	2141
131	325	2138
132	327	2135
133	330	2134
134	332	2131
135	335	2129
136	337	2126
137	340	2125
138	342	2122
139	345	2120
140	347	2118
141	350	2117
142	352	2114
143	355	2112
144	357	2110
145	360	2107
146	362	2104
147	365	2103
148	367	2101
149	370	2100
150	373	2098
151	375	2095
152	378	2092
153	380	2090
154	383	2088
155	385	2086
156	388	2083
157	390	2081
158	392	2078
159	395	2078
160	398	2078
161	401	2075
162	403	2072
163	406	2070
164	408	2067
165	411	2066
166	414	2066
167	416	2064
168	419	2061
169	421	2057
170	424	2055
171	426	2053
172	428	2049
173	431	2046
174	433	2044
175	436	2042
176	438	2039
177	441	2036
178	443	2034
179	445	2030
180	448	2029
181	450	2026
182	453	2025
183	456	2025
184	459	2022
185	461	2019
186	463	2016
187	466	2013
188	468	2009
189	470	2006
190	473	2004
191	475	2002
192	478	1999
193	480	1996
194	483	1994
195	485	1991
